Waktu,Temperatur
2021-01-01,25.45
2021-01-09,21.16
2021-01-17,25.76
2021-01-25,26.29
2021-02-02,24.04
2021-02-10,27.03
2021-02-18,26.91
2021-02-26,28.18
2021-03-06,27.43
2021-03-14,29.03
2021-03-22,26.5
2021-03-30,29.2
2021-04-07,28.84
2021-04-15,29.1
2021-04-23,29.47
2021-05-01,28.75
2021-05-09,29.1
2021-05-17,28.62
2021-05-25,27.69
2021-06-02,28.85
2021-06-10,28.18
2021-06-18,28.88
2021-06-26,27.13
2021-07-04,28.14
2021-07-12,29.07
2021-07-20,29.11
2021-07-28,28.96
2021-08-05,28.39
2021-08-13,28.52
2021-08-21,28.81
2021-08-29,27.88
2021-09-06,28.95
2021-09-14,29.69
2021-09-22,30.01
2021-09-30,28.08
2021-10-08,29.96
2021-10-16,29.63
2021-10-24,29.22
2021-11-01,30.49
2021-11-09,29.28
2021-11-17,29.38
2021-11-25,30.4
2021-12-03,27.33
2021-12-11,28.75
2021-12-19,26.62
2021-12-27,25.35
2022-01-01,26.92
2022-01-09,25.92
2022-01-17,26.54
2022-01-25,28.38
2022-02-02,27.21
2022-02-10,30.22
2022-02-18,27.91
2022-02-26,28.1
2022-03-06,28.4
2022-03-14,29.55
2022-03-22,29.81
2022-03-30,29.67
2022-04-07,28.93
2022-04-15,28.17
2022-04-23,28.43
2022-05-01,28.33
2022-05-09,28.66
2022-05-17,27.98
2022-05-25,28.47
2022-06-02,27.99
2022-06-10,27.88
2022-06-18,27.35
2022-06-26,27.89
2022-07-04,28.24
2022-07-12,27.25
2022-07-20,26.83
2022-07-28,27.16
2022-08-05,28.46
2022-08-13,28.37
2022-08-21,27.48
2022-08-29,29
2022-09-06,27.95
2022-09-14,29.05
2022-09-22,29.12
2022-09-30,28.54
2022-10-08,29.05
2022-10-16,27.62
2022-10-24,26.2
2022-11-01,28.61
2022-11-09,25.92
2022-11-17,29.15
2022-11-25,28.07
2022-12-03,28.43
2022-12-11,27.48
2022-12-19,26.24
2022-12-27,25.56
2023-01-01,29.11
2023-01-09,27.1
2023-01-17,25.38
2023-01-25,24.94
2023-02-02,25.51
2023-02-10,27.49
2023-02-18,26.83
2023-02-26,28.31
2023-03-06,26.6
2023-03-14,26.75
2023-03-22,28.03
2023-03-30,27.1
2023-04-07,28.43
2023-04-15,28.53
2023-04-23,27.04
2023-05-01,28.4
2023-05-09,28.5
2023-05-17,27.09
2023-05-25,27.30
